episode,question_id,final_status,total_reward,num_steps,num_llm_calls,latency_seconds,token_usage,citation_support,verification_pass,buffer_size,total_updates,critic_loss,actor_loss_retriever,actor_loss_grader,actor_loss_generator,actor_loss_verifier
1,Q029,timeout,-1.2400000000000002,12,7,199.088,14733,0.0,0,12,0,,,,,
2,Q004,accepted,0.2649,10,7,110.1579,5370,1.0,1,22,0,,,,,
3,Q002,accepted,0.46819999999999995,4,3,52.2509,2775,1.0,1,26,0,,,,,
4,Q015,timeout,-1.3771,12,7,267.0141,16344,0.0,0,38,0,,,,,
5,Q001,accepted,0.7083999999999999,4,3,54.0012,3105,1.0,1,42,0,,,,,
6,Q014,timeout,-1.2650000000000001,12,7,231.5364,13759,0.0,0,54,0,,,,,
7,Q033,accepted,0.474,4,3,46.8096,2723,1.0,1,58,0,,,,,
8,Q005,accepted,0.7466999999999999,4,3,55.9594,3063,1.0,1,62,0,,,,,
9,Q002,accepted,0.4688,4,3,50.9418,2776,1.0,1,66,0,,,,,
10,Q037,accepted,0.24499999999999988,9,6,154.0025,9284,1.0,1,75,0,,,,,
11,Q031,accepted,-0.0510000000000001,9,6,160.7987,7868,0.5,1,84,1,0.228508,0.351862,0.291158,0.226577,0.100631
12,Q028,accepted,0.6246999999999999,4,3,55.3187,3008,1.0,1,88,2,0.177747,0.014352,-0.045219,-0.08404,-0.198974
13,Q035,accepted,0.32199999999999995,4,3,51.5847,3108,0.5,1,92,3,0.13334,-0.384299,-0.444629,-0.494874,-0.57263
14,Q032,accepted,0.22229999999999994,4,3,58.8676,3165,0.75,1,96,4,0.09405,-0.798496,-0.845693,-0.90199,-0.964302
15,Q007,accepted,0.6144,4,3,64.92,3359,1.0,1,100,5,0.119495,-0.984195,-1.003054,-1.048225,-1.089913
16,Q007,accepted,0.2799999999999999,9,6,195.9924,10111,1.0,1,109,5,,,,,
17,Q029,accepted,0.18489999999999995,9,6,236.3197,13884,1.0,1,118,5,,,,,
18,Q004,accepted,0.5782999999999999,4,3,106.102,3768,1.0,1,122,5,,,,,
19,Q024,accepted,0.02069999999999997,4,3,95.1676,5158,0.25,1,126,5,,,,,
20,Q022,accepted,0.17969999999999997,4,3,61.7407,3405,0.3333,1,130,5,,,,,
21,Q006,accepted,0.21089999999999998,9,6,243.1424,12774,1.0,1,139,5,,,,,
22,Q002,accepted,0.6033,4,3,57.1664,3000,1.0,1,143,5,,,,,
23,Q009,accepted,0.5001,4,3,65.6177,3714,1.0,1,147,5,,,,,
24,Q035,accepted,0.10109999999999997,4,3,71.367,3903,0.4,1,151,5,,,,,
25,Q002,accepted,0.6228,4,3,57.9481,2996,1.0,1,155,5,,,,,
26,Q020,accepted,0.20259999999999995,4,3,73.0906,3884,0.3333,1,159,5,,,,,
27,Q026,accepted,0.5186,4,3,63.2705,3818,1.0,1,163,5,,,,,
28,Q025,accepted,0.5297,4,3,91.0681,5004,1.0,1,167,5,,,,,
29,Q035,accepted,0.5601999999999999,4,3,78.1313,4583,1.0,1,171,5,,,,,
30,Q024,error,-0.02,1,0,14.573,0,0.0,0,172,6,0.12893,-0.930281,-0.944143,-0.969401,-0.994582
