episode,step,active_agent,valid_actions,discrete_action,reward,done,next_active_agent,raw_0,raw_1,raw_2,raw_3,padded_0,padded_1,padded_2,padded_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,rewrite_strength,query_expansion_weight,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold
1,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,0.099398,0.255456,0.391111,0.34777,0.099398,0.255456,0.391111,0.34777,0.5496987700462341,8,0.6955555230379105,0.673884928226471,,,,,,,,,,
1,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-0.07,0,generator,-0.172931,-0.556162,0.217721,,-0.172931,-0.556162,0.217721,0.0,,,,,,,0.4135345220565796,0.22191905975341797,0.6088607013225555,,,,,
1,3,generator,generate_answer|generate_with_strict_citations|generate_short_answer,generate_answer,-0.07,0,verifier,0.148236,-0.475619,0.422204,0.360631,0.148236,-0.475619,0.422204,0.360631,,,,,,,,,,0.5741180703043938,0.26219041645526886,902,0.6803157329559326,
1,4,verifier,verify_answer,verify_answer,-0.07,0,verifier,-0.556708,,,,-0.556708,0.0,0.0,0.0,,,,,,,,,,,,,,0.22164595127105713
1,5,verifier,request_regeneration|request_more_retrieval|request_rewrite,request_more_retrieval,-0.07,0,retriever,-0.612017,,,,-0.612017,0.0,0.0,0.0,,,,,,,,,,,,,,0.19399133324623108
1,6,retriever,retrieve_more,retrieve_more,-0.02,0,grader,-0.110547,0.275621,0.256351,0.295437,-0.110547,0.275621,0.256351,0.295437,0.4447265900671482,8,0.628175288438797,0.6477184295654297,,,,,,,,,,
1,7,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-1.0,1,,-0.063757,-0.758402,0.191837,,-0.063757,-0.758402,0.191837,0.0,,,,,,,0.468121524900198,0.12079906463623047,0.5959182605147362,,,,,
2,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.203329,0.507987,0.217114,0.015812,-0.203329,0.507987,0.217114,0.015812,0.39833538234233856,9,0.6085571870207787,0.5079059908166528,,,,,,,,,,
2,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-1.0,1,,-0.368518,-0.643615,0.194344,,-0.368518,-0.643615,0.194344,0.0,,,,,,,0.3157411515712738,0.17819258570671082,0.5971719101071358,,,,,
3,1,retriever,dense_retrieve|sparse_retrieve|hybrid_retrieve|hybrid_rerank,hybrid_rerank,-0.02,0,grader,-0.56541,0.505973,0.132021,0.228846,-0.56541,0.505973,0.132021,0.228846,0.21729502081871033,9,0.566010594367981,0.6144229844212532,,,,,,,,,,
3,2,grader,keep_all|loose_filter|medium_filter|strict_filter|rerank_only,loose_filter,-1.0,1,,-0.266399,-0.803649,0.368,,-0.266399,-0.803649,0.368,0.0,,,,,,,0.3668006807565689,0.1,0.6839999407529831,,,,,
